name,roomname,capacity,classroom,locate
Digital Systems Lab,2.412,25,lab,"Building 2, Level 4"
Electronic Design Lab,2.515,20,lab,"Building 2, Level 5"
Furnace Lab,2.707,15,lab,"Building 2, Level 7"
Future Living Lab,2.611,25,lab,"Building 2, Level 6"
Game Lab,2.316,20,lab,"Building 2, Level 3"
IDiA Lab,2.605,30,lab,"Building 2, Level 6"
Information System Lab,1.605,50,lab,"Building 1, Level 6"
LEET Lab,1.612,30,lab," Building 1, Level 6"
Materials Characterisation Lab,2.706,30,lab,"Building 2, Level 7"
Materials Design Lab,3.509,30,lab,"Building 3, Level 5"
Optics Design Lab,3.411,30,lab,"Building 3, Level 4"
Photo & Video Lab,1.519,30,lab,"Building 1, Level 5"
Physics Lab,2.411,30,lab,"Building 2, Level 4"
System Modelling Lab,1.615,30,lab,"Building 1, Level 6"
Temasek Lab ,2.701,30,lab,"Building 2, Level 7"
Trading Lab ,1.61,30,lab,"Building 1, Level 6"
Augmented Human Design Lab,3.309,30,lab,"Building 3, Level 3"
Behavioral Design Lab 1,3.303,30,lab,"Building 3, Level 3"
Chemical Analytical Design Lab,3.507,30,lab,"Building 3, Level 5"
Chemistry-Biology Learning Lab ,2.512/2.513,30,lab,"Building 2, Level 5"
Composite Design Lab 1 ,3.31,30,lab,"Building 3, Level 3"
ESD Research Lab 1 ,1.715,30,lab,"Building 1, Level 7"
Power System and Electronics Lab ,1.713,30,lab,"Building 1, Level 7"
Precision Robotics Lab 2,1.703,30,lab,"Building 1, Level 7"
Fabrication Lab Sat 1 (PloThink Tanker),1.505,20,lab,"Building 1, Level 5"
Fabrication Lab Satellite 2,2.303,20,lab,"Building 2, Level 3"
Fabrication Lab Satellite 3,2.402,20,lab,"Building 2, Level 4"
Fabrication Lab Satellite 4,2.502,20,lab,"Building 2, Level 5"
Fabrication Lab Satellite 5,2.602,20,lab,"Building 2, Level 6"
Electrical Device Characterization Design Lab ,3.41,20,lab,"Building 3, Level 4"
Magnetic & Mechanical Materials Characterization Design Lab ,3.412,20,lab,"Building 3, Level 4"
Thin Film Characterization Design Lab ,3.407,20,lab,"Building 3, Level 4"
Precision Robotics Lab 1 ,1.704,20,lab,"Building 1, Level 7"
Multimedia Room 1,1.201-02,25,lab,"Building 1, Level 2"
Multimedia Room 2,1.201-03,25,lab,"Building 1, Level 2"
Cohort Classroom 1,1.314A / 1.314B,50,classroom,"Building 1, Level 3"
Cohort Classroom 2,1.315A /1.315B,50,classroom,"Building 1, Level 3"
Cohort Classroom 3,1.413A / 1.413B,50,classroom,"Building 1, Level 4"
Cohort Classroom 4,1.414A / 1.414B,50,classroom,"Building 1, Level 4"
Cohort Classroom 5,1.513A / 1.513B,50,classroom,"Building 1, Level 5"
Cohort Classroom 6,1.514A / 1.514B,50,classroom,"Building 1, Level 5"
Cohort Classroom 7, 1.608A / 1.608B,50,classroom,"Building 1, Level 6"
Cohort Classroom 8, 1.609A / 1.609B,50,classroom,"Building 1, Level 6"
Cohort Classroom 9, 2.307A / 2.307B,50,classroom,"Building 2, Level 3"
Cohort Classroom 11, 2.405A / 2.405B,50,classroom,"Building 2, Level 4"
Cohort Classroom 12, 2.406A / 2.406A,50,classroom,"Building 2, Level 4"
Cohort Classroom 13,2.507A / 2.507B,50,classroom,"Building 2, Level 5"
Cohort Classroom 14, 2.506A / 2.506B,50,classroom,"Building 2, Level 5"
Cohort Classroom 15,2.606A / 2.606B,50,classroom,"Building 2, Level 6"
Cohort Classroom 16,2.607A / 2.607B,50,classroom,"Building 2, Level 6"
